seq_name	chromosome_score	plasmid_score	virus_score
NODE_46_length_464_cov_2.014670	0.8039	0.0673	0.1288
NODE_47_length_426_cov_17.660377	0.4659	0.2183	0.3159
NODE_48_length_361_cov_1.882353	0.8328	0.0344	0.1328
NODE_49_length_360_cov_0.944262	0.7411	0.0500	0.2090
NODE_50_length_347_cov_2.113014	0.8915	0.0178	0.0907
NODE_51_length_346_cov_0.982818	0.6940	0.0329	0.2732
NODE_52_length_327_cov_0.753676	0.9605	0.0074	0.0321
NODE_53_length_326_cov_0.749077	0.6619	0.0310	0.3071
NODE_54_length_324_cov_0.669145	0.7321	0.0517	0.2162
NODE_55_length_321_cov_4.312030	0.6786	0.0324	0.2889
NODE_56_length_318_cov_1.022814	0.7664	0.2322	0.0014
NODE_57_length_317_cov_0.679389	0.9137	0.0153	0.0710
NODE_58_length_313_cov_0.558140	0.6345	0.0410	0.3245
NODE_59_length_303_cov_0.766129	0.9605	0.0074	0.0321
NODE_60_length_302_cov_0.538462	0.9605	0.0074	0.0321
NODE_61_length_290_cov_0.680851	0.7359	0.0831	0.1810
NODE_62_length_286_cov_0.705628	0.6054	0.0303	0.3643
NODE_63_length_282_cov_0.814978	0.8632	0.0372	0.0997
NODE_64_length_281_cov_0.787611	0.6759	0.0323	0.2918
NODE_65_length_281_cov_0.756637	0.9605	0.0074	0.0321
NODE_66_length_280_cov_0.835556	0.9605	0.0074	0.0321
NODE_67_length_278_cov_0.847534	0.9605	0.0074	0.0321
NODE_68_length_277_cov_0.792793	0.7134	0.0453	0.2413
NODE_69_length_276_cov_0.828054	0.9605	0.0074	0.0321
NODE_70_length_276_cov_0.692308	0.6813	0.0326	0.2861
NODE_71_length_276_cov_0.592760	0.6813	0.0326	0.2861
NODE_72_length_275_cov_0.690909	0.6636	0.0317	0.3047
NODE_73_length_273_cov_1.321101	0.7848	0.0893	0.1260
NODE_74_length_271_cov_0.800926	0.7914	0.0481	0.1605
NODE_75_length_270_cov_1.339535	0.6813	0.0326	0.2861
NODE_76_length_270_cov_0.893023	0.8966	0.1028	0.0007
NODE_77_length_270_cov_0.846512	0.6813	0.0326	0.2861
NODE_78_length_270_cov_0.813953	0.6828	0.0272	0.2900
NODE_79_length_267_cov_2.136792	0.6355	0.1443	0.2202
NODE_80_length_267_cov_0.844340	0.9605	0.0074	0.0321
NODE_81_length_267_cov_0.839623	0.6828	0.0272	0.2900
NODE_82_length_267_cov_0.839623	0.9605	0.0074	0.0321
NODE_83_length_267_cov_0.830189	0.9605	0.0074	0.0321
NODE_84_length_266_cov_1.786730	0.7106	0.0340	0.2554
NODE_85_length_266_cov_0.838863	0.7106	0.0340	0.2554
NODE_86_length_266_cov_0.829384	0.9605	0.0074	0.0321
NODE_87_length_265_cov_0.904762	0.6151	0.0308	0.3542
NODE_88_length_265_cov_0.838095	0.7185	0.0502	0.2313
NODE_89_length_264_cov_1.837321	0.6813	0.0326	0.2861
NODE_90_length_264_cov_0.851675	0.8448	0.0323	0.1229
NODE_91_length_264_cov_0.846890	0.9605	0.0074	0.0321
NODE_92_length_264_cov_0.842105	0.9605	0.0074	0.0321
NODE_93_length_264_cov_0.837321	0.8628	0.0225	0.1147
NODE_94_length_264_cov_0.818182	0.6828	0.0272	0.2900
NODE_95_length_263_cov_0.903846	0.6786	0.0324	0.2889
NODE_96_length_263_cov_0.836538	0.9605	0.0074	0.0321
NODE_97_length_263_cov_0.812500	0.6786	0.0324	0.2889
NODE_98_length_262_cov_0.927536	0.7094	0.0335	0.2571
NODE_99_length_262_cov_0.835749	0.5728	0.0286	0.3985
NODE_100_length_262_cov_0.835749	0.7914	0.0481	0.1605
NODE_101_length_262_cov_0.835749	0.9605	0.0074	0.0321
NODE_102_length_262_cov_0.811594	0.6386	0.1323	0.2290
NODE_103_length_262_cov_0.700483	0.5728	0.0286	0.3985
NODE_104_length_261_cov_2.796117	0.6940	0.0329	0.2732
NODE_105_length_261_cov_0.834951	0.6940	0.0329	0.2732
NODE_106_length_261_cov_0.815534	0.6940	0.0329	0.2732
NODE_107_length_261_cov_0.796117	0.8976	0.0176	0.0848
NODE_108_length_260_cov_0.834146	0.6879	0.0616	0.2506
NODE_109_length_260_cov_0.765854	0.9605	0.0074	0.0321
NODE_110_length_259_cov_0.843137	0.7331	0.0523	0.2146
NODE_111_length_259_cov_0.833333	0.5728	0.0286	0.3985
NODE_112_length_259_cov_0.833333	0.5728	0.0286	0.3985
NODE_113_length_259_cov_0.833333	0.5728	0.0286	0.3985
NODE_114_length_259_cov_0.696078	0.6879	0.0616	0.2506
NODE_115_length_258_cov_0.842365	0.6940	0.0329	0.2732
NODE_116_length_258_cov_0.832512	0.6940	0.0329	0.2732
NODE_117_length_258_cov_0.832512	0.7211	0.0333	0.2456
NODE_118_length_258_cov_0.822660	0.9605	0.0074	0.0321
NODE_119_length_258_cov_0.748768	0.6828	0.0272	0.2900
NODE_120_length_257_cov_0.905941	0.9605	0.0074	0.0321
NODE_121_length_257_cov_0.831683	0.9605	0.0074	0.0321
NODE_122_length_257_cov_0.831683	0.6786	0.0324	0.2889
NODE_123_length_257_cov_0.801980	0.6786	0.0324	0.2889
NODE_124_length_257_cov_0.727723	0.6786	0.0324	0.2889
NODE_125_length_256_cov_0.830846	0.9605	0.0074	0.0321
NODE_126_length_255_cov_0.830000	0.6940	0.0329	0.2732
NODE_127_length_255_cov_0.830000	0.6940	0.0329	0.2732
NODE_128_length_255_cov_0.830000	0.6940	0.0329	0.2732
NODE_129_length_255_cov_0.695000	0.6940	0.0329	0.2732
NODE_130_length_255_cov_0.675000	0.9605	0.0074	0.0321
NODE_131_length_254_cov_0.889447	0.9605	0.0074	0.0321
NODE_132_length_254_cov_0.844221	0.7409	0.0358	0.2233
NODE_133_length_254_cov_0.839196	0.9605	0.0074	0.0321
NODE_134_length_254_cov_0.809045	0.9605	0.0074	0.0321
NODE_135_length_253_cov_0.893939	0.5909	0.0276	0.3815
NODE_136_length_253_cov_0.888889	0.9605	0.0074	0.0321
NODE_137_length_253_cov_0.838384	0.9605	0.0074	0.0321
NODE_138_length_253_cov_0.833333	0.5909	0.0276	0.3815
NODE_139_length_253_cov_0.833333	0.9605	0.0074	0.0321
NODE_140_length_253_cov_0.828283	0.7094	0.0335	0.2571
NODE_141_length_253_cov_0.813131	0.5909	0.0276	0.3815
NODE_142_length_253_cov_0.656566	0.7094	0.0335	0.2571
NODE_143_length_252_cov_0.837563	0.9605	0.0074	0.0321
NODE_144_length_252_cov_0.827411	0.9605	0.0074	0.0321
NODE_145_length_252_cov_0.822335	0.9605	0.0074	0.0321
NODE_146_length_252_cov_0.817259	0.9605	0.0074	0.0321
NODE_147_length_251_cov_0.831633	0.6786	0.0324	0.2889
NODE_148_length_251_cov_0.826531	0.6786	0.0324	0.2889
NODE_149_length_250_cov_0.825641	0.9605	0.0074	0.0321
NODE_150_length_250_cov_0.825641	0.6375	0.0298	0.3327
NODE_151_length_249_cov_0.855670	0.6828	0.0272	0.2900
NODE_152_length_249_cov_0.824742	0.7085	0.0471	0.2444
NODE_153_length_249_cov_0.768041	0.6940	0.0329	0.2732
NODE_154_length_249_cov_0.634021	0.6828	0.0272	0.2900
NODE_155_length_248_cov_0.844560	0.9605	0.0074	0.0321
NODE_156_length_248_cov_0.839378	0.9605	0.0074	0.0321
NODE_157_length_248_cov_0.834197	0.6786	0.0324	0.2889
NODE_158_length_248_cov_0.829016	0.7201	0.0382	0.2417
NODE_159_length_248_cov_0.823834	0.7359	0.0831	0.1810
NODE_160_length_248_cov_0.803109	0.9605	0.0074	0.0321
NODE_161_length_248_cov_0.792746	0.7013	0.0947	0.2040
NODE_162_length_247_cov_0.994792	0.6769	0.0777	0.2454
NODE_163_length_247_cov_0.843750	0.6375	0.0298	0.3327
NODE_164_length_246_cov_0.837696	0.9605	0.0074	0.0321
NODE_165_length_246_cov_0.821990	0.7476	0.1064	0.1459
NODE_166_length_246_cov_0.821990	0.9605	0.0074	0.0321
NODE_167_length_246_cov_0.821990	0.9605	0.0074	0.0321
NODE_168_length_245_cov_0.826316	0.6786	0.0324	0.2889
NODE_169_length_245_cov_0.826316	0.9605	0.0074	0.0321
NODE_170_length_245_cov_0.821053	0.8993	0.0116	0.0891
NODE_171_length_245_cov_0.815789	0.6786	0.0324	0.2889
NODE_172_length_245_cov_0.810526	0.9605	0.0074	0.0321
NODE_173_length_245_cov_0.726316	0.6786	0.0324	0.2889
NODE_174_length_245_cov_0.642105	0.6786	0.0324	0.2889
NODE_175_length_244_cov_0.862434	0.6154	0.0288	0.3558
NODE_176_length_244_cov_0.825397	0.7053	0.0333	0.2614
NODE_177_length_244_cov_0.820106	0.9605	0.0074	0.0321
NODE_178_length_244_cov_0.820106	0.9605	0.0074	0.0321
NODE_179_length_243_cov_3.212766	0.7196	0.0561	0.2243
NODE_180_length_243_cov_2.553191	0.6366	0.0788	0.2846
NODE_181_length_243_cov_0.893617	0.7020	0.0271	0.2709
NODE_182_length_243_cov_0.835106	0.9605	0.0074	0.0321
NODE_183_length_243_cov_0.829787	0.7187	0.0563	0.2250
NODE_184_length_243_cov_0.819149	0.9605	0.0074	0.0321
NODE_185_length_243_cov_0.819149	0.7020	0.0271	0.2709
NODE_186_length_242_cov_1.540107	0.6786	0.0324	0.2889
NODE_187_length_242_cov_0.823529	0.9605	0.0074	0.0321
NODE_188_length_241_cov_0.860215	0.6585	0.0308	0.3107
NODE_189_length_241_cov_0.838710	0.7914	0.0481	0.1605
NODE_190_length_241_cov_0.833333	0.6585	0.0308	0.3107
NODE_191_length_241_cov_0.817204	0.9142	0.0138	0.0720
NODE_192_length_241_cov_0.817204	0.7155	0.0440	0.2405
NODE_193_length_241_cov_0.817204	0.9605	0.0074	0.0321
NODE_194_length_240_cov_0.832432	0.2896	0.0554	0.6549
NODE_195_length_240_cov_0.816216	0.9605	0.0074	0.0321
NODE_196_length_239_cov_1.005435	0.9605	0.0074	0.0321
NODE_197_length_239_cov_0.820652	0.6786	0.0324	0.2889
NODE_198_length_239_cov_0.820652	0.6786	0.0324	0.2889
NODE_199_length_239_cov_0.820652	0.6786	0.0324	0.2889
NODE_200_length_239_cov_0.815217	0.4545	0.2364	0.3091
NODE_201_length_239_cov_0.690217	0.9605	0.0074	0.0321
NODE_202_length_238_cov_0.825137	0.6965	0.0532	0.2503
NODE_203_length_238_cov_0.825137	0.9605	0.0074	0.0321
NODE_204_length_238_cov_0.825137	0.7228	0.0570	0.2201
NODE_205_length_238_cov_0.825137	0.8876	0.0227	0.0897
NODE_206_length_238_cov_0.819672	0.9605	0.0074	0.0321
NODE_207_length_238_cov_0.819672	0.9605	0.0074	0.0321
NODE_208_length_238_cov_0.814208	0.7302	0.0521	0.2178
NODE_209_length_238_cov_0.814208	0.8507	0.0323	0.1170
NODE_210_length_237_cov_1.054945	0.9952	0.0034	0.0014
NODE_211_length_236_cov_0.817680	0.6786	0.0324	0.2889
NODE_212_length_235_cov_1.000000	0.9605	0.0074	0.0321
NODE_213_length_235_cov_0.933333	0.6536	0.0306	0.3158
NODE_214_length_235_cov_0.822222	0.6536	0.0306	0.3158
NODE_215_length_234_cov_1.039106	0.7193	0.0400	0.2408
NODE_216_length_234_cov_0.877095	0.6828	0.0272	0.2900
NODE_217_length_234_cov_0.832402	0.7083	0.0474	0.2443
NODE_218_length_233_cov_0.876404	0.9605	0.0074	0.0321
NODE_219_length_233_cov_0.820225	0.6786	0.0324	0.2889
NODE_220_length_233_cov_0.814607	0.9605	0.0074	0.0321
NODE_221_length_233_cov_0.808989	0.6786	0.0324	0.2889
NODE_222_length_233_cov_0.808989	0.6786	0.0324	0.2889
NODE_223_length_232_cov_1.011299	0.6536	0.0306	0.3158
NODE_224_length_232_cov_0.796610	0.9605	0.0074	0.0321
NODE_225_length_231_cov_0.806818	0.6828	0.0272	0.2900
NODE_226_length_230_cov_0.822857	0.6786	0.0324	0.2889
NODE_227_length_230_cov_0.805714	0.6786	0.0324	0.2889
NODE_228_length_230_cov_0.805714	0.9605	0.0074	0.0321
NODE_229_length_230_cov_0.422857	0.6786	0.0324	0.2889
NODE_230_length_230_cov_0.382857	0.9605	0.0074	0.0321
NODE_231_length_229_cov_0.885057	0.9605	0.0074	0.0321
NODE_232_length_229_cov_0.816092	0.9605	0.0074	0.0321
NODE_233_length_229_cov_0.804598	0.9605	0.0074	0.0321
NODE_234_length_228_cov_0.815029	0.7094	0.0335	0.2571
NODE_235_length_228_cov_0.803468	0.7094	0.0335	0.2571
NODE_236_length_227_cov_1.674419	0.6786	0.0324	0.2889
NODE_237_length_227_cov_0.889535	0.6786	0.0324	0.2889
NODE_238_length_227_cov_0.808140	0.9605	0.0074	0.0321
NODE_239_length_227_cov_0.808140	0.6786	0.0324	0.2889
NODE_240_length_225_cov_0.870588	0.7094	0.0335	0.2571
NODE_241_length_225_cov_0.800000	0.9605	0.0074	0.0321
NODE_242_length_225_cov_0.794118	0.7094	0.0335	0.2571
NODE_243_length_224_cov_0.798817	0.6786	0.0324	0.2889
NODE_244_length_222_cov_0.808383	0.7094	0.0335	0.2571
NODE_245_length_221_cov_11.186747	0.6786	0.0324	0.2889
NODE_246_length_221_cov_1.018072	0.6786	0.0324	0.2889
NODE_247_length_220_cov_1.030303	0.7097	0.0335	0.2568
NODE_248_length_219_cov_2.341463	0.6828	0.0272	0.2900
NODE_249_length_218_cov_2.944785	0.6786	0.0324	0.2889
NODE_250_length_217_cov_1.037037	0.6337	0.0296	0.3367
NODE_251_length_216_cov_1.006211	0.7094	0.0335	0.2571
NODE_252_length_216_cov_0.838509	0.7094	0.0335	0.2571
NODE_253_length_215_cov_1.200000	0.6786	0.0324	0.2889
NODE_254_length_213_cov_1.594937	0.7094	0.0335	0.2571
NODE_255_length_213_cov_1.018987	0.6828	0.0272	0.2900
NODE_256_length_213_cov_1.018987	0.7094	0.0335	0.2571
NODE_257_length_211_cov_1.846154	0.6086	0.0285	0.3630
NODE_258_length_211_cov_0.596154	0.6086	0.0285	0.3630
NODE_259_length_210_cov_0.606452	0.7094	0.0335	0.2571
NODE_260_length_210_cov_0.600000	0.6828	0.0272	0.2900
NODE_261_length_210_cov_0.445161	0.9605	0.0074	0.0321
NODE_262_length_210_cov_0.445161	0.6828	0.0272	0.2900
NODE_263_length_209_cov_1.025974	0.9605	0.0074	0.0321
NODE_264_length_208_cov_1.006536	0.6202	0.0290	0.3508
NODE_265_length_146_cov_1.263736	0.7094	0.0335	0.2571
NODE_266_length_113_cov_1340.931034	0.7177	0.0339	0.2484
NODE_267_length_108_cov_130.188679	0.6828	0.0272	0.2900
NODE_268_length_108_cov_6.660377	0.7308	0.0329	0.2363
NODE_269_length_108_cov_5.849057	0.6828	0.0272	0.2900
NODE_270_length_106_cov_32.568627	0.6786	0.0324	0.2889
NODE_271_length_104_cov_7.959184	0.9605	0.0074	0.0321
NODE_272_length_104_cov_3.612245	0.7097	0.0335	0.2568
NODE_273_length_103_cov_3.479167	0.6902	0.0344	0.2754
NODE_274_length_100_cov_4.266667	0.7413	0.0372	0.2214
NODE_275_length_99_cov_18.636364	0.7125	0.0360	0.2515
NODE_276_length_99_cov_18.295455	0.7125	0.0360	0.2515
NODE_277_length_97_cov_14.761905	0.6813	0.0326	0.2861
NODE_278_length_96_cov_35.926829	0.7098	0.0366	0.2537
NODE_279_length_76_cov_561.047619	0.7194	0.0398	0.2408
NODE_280_length_70_cov_312.400000	0.7190	0.0397	0.2413
NODE_281_length_69_cov_3.642857	0.9605	0.0074	0.0321
NODE_282_length_62_cov_23.285714	0.9605	0.0074	0.0321
NODE_283_length_60_cov_64.600000	0.9605	0.0074	0.0321
NODE_284_length_60_cov_1.600000	0.9605	0.0074	0.0321
NODE_285_length_59_cov_91.000000	0.9605	0.0074	0.0321
NODE_286_length_59_cov_58.500000	0.9605	0.0074	0.0321
NODE_287_length_59_cov_22.500000	0.9605	0.0074	0.0321
NODE_288_length_59_cov_1.000000	0.9605	0.0074	0.0321
NODE_289_length_58_cov_993.000000	0.9605	0.0074	0.0321
NODE_290_length_58_cov_809.333333	0.9605	0.0074	0.0321
NODE_291_length_58_cov_263.000000	0.9605	0.0074	0.0321
NODE_292_length_58_cov_31.666667	0.9605	0.0074	0.0321
NODE_293_length_58_cov_16.666667	0.9605	0.0074	0.0321
NODE_294_length_58_cov_15.000000	0.9605	0.0074	0.0321
NODE_295_length_57_cov_297.000000	0.9605	0.0074	0.0321
NODE_296_length_57_cov_175.500000	0.9605	0.0074	0.0321
NODE_297_length_57_cov_34.500000	0.9605	0.0074	0.0321
NODE_298_length_57_cov_8.500000	0.9605	0.0074	0.0321
NODE_299_length_57_cov_5.000000	0.9605	0.0074	0.0321
NODE_300_length_56_cov_156342.000000	0.9605	0.0074	0.0321
NODE_301_length_56_cov_692.000000	0.9605	0.0074	0.0321
NODE_302_length_56_cov_319.000000	0.9605	0.0074	0.0321
NODE_303_length_56_cov_210.000000	0.9605	0.0074	0.0321
NODE_304_length_56_cov_19.000000	0.9605	0.0074	0.0321
NODE_305_length_56_cov_19.000000	0.9605	0.0074	0.0321
NODE_306_length_56_cov_7.000000	0.9605	0.0074	0.0321
NODE_307_length_56_cov_7.000000	0.9605	0.0074	0.0321
NODE_308_length_56_cov_6.000000	0.9605	0.0074	0.0321
NODE_309_length_56_cov_6.000000	0.9605	0.0074	0.0321
NODE_310_length_56_cov_5.000000	0.9605	0.0074	0.0321
NODE_311_length_56_cov_4.000000	0.9605	0.0074	0.0321
NODE_312_length_56_cov_3.000000	0.9605	0.0074	0.0321
