seq_name	chromosome_score	plasmid_score	virus_score
NODE_47_length_426_cov_17.660377	0.1957	0.1813	0.6230
NODE_48_length_361_cov_1.882353	0.6198	0.0883	0.2919
NODE_49_length_360_cov_0.944262	0.5414	0.0874	0.3711
NODE_50_length_347_cov_2.113014	0.7435	0.1042	0.1523
NODE_51_length_346_cov_0.982818	0.6464	0.0860	0.2676
NODE_52_length_327_cov_0.753676	0.9066	0.0343	0.0590
NODE_53_length_326_cov_0.749077	0.3829	0.1416	0.4755
NODE_54_length_324_cov_0.669145	0.4487	0.2532	0.2982
NODE_55_length_321_cov_4.312030	0.3124	0.0425	0.6451
NODE_56_length_318_cov_1.022814	0.8860	0.1096	0.0043
NODE_57_length_317_cov_0.679389	0.6914	0.0649	0.2437
NODE_58_length_313_cov_0.558140	0.6576	0.1804	0.1620
NODE_59_length_303_cov_0.766129	0.8995	0.0719	0.0286
NODE_60_length_302_cov_0.538462	0.7598	0.0908	0.1494
NODE_61_length_290_cov_0.680851	0.2153	0.6417	0.1431
NODE_62_length_286_cov_0.705628	0.1736	0.0837	0.7427
NODE_63_length_282_cov_0.814978	0.4940	0.3559	0.1501
NODE_64_length_281_cov_0.787611	0.1973	0.0931	0.7096
NODE_65_length_281_cov_0.756637	0.6104	0.2758	0.1138
NODE_66_length_280_cov_0.835556	0.8737	0.0892	0.0371
NODE_67_length_278_cov_0.847534	0.8769	0.0890	0.0342
NODE_68_length_277_cov_0.792793	0.1933	0.4642	0.3425
NODE_69_length_276_cov_0.828054	0.6827	0.2329	0.0844
NODE_70_length_276_cov_0.692308	0.3551	0.2041	0.4408
NODE_71_length_276_cov_0.592760	0.2269	0.3493	0.4237
NODE_72_length_275_cov_0.690909	0.1897	0.1363	0.6740
NODE_73_length_273_cov_1.321101	0.5135	0.1066	0.3798
NODE_74_length_271_cov_0.800926	0.5321	0.0965	0.3714
NODE_75_length_270_cov_1.339535	0.3033	0.1136	0.5832
NODE_76_length_270_cov_0.893023	0.8827	0.0809	0.0364
NODE_77_length_270_cov_0.846512	0.3620	0.3355	0.3025
NODE_78_length_270_cov_0.813953	0.3453	0.0733	0.5814
NODE_79_length_267_cov_2.136792	0.4891	0.1232	0.3877
NODE_80_length_267_cov_0.844340	0.9355	0.0319	0.0326
NODE_81_length_267_cov_0.839623	0.2437	0.0784	0.6779
NODE_82_length_267_cov_0.839623	0.8050	0.1295	0.0655
NODE_83_length_267_cov_0.830189	0.8783	0.0751	0.0465
NODE_84_length_266_cov_1.786730	0.5894	0.0622	0.3484
NODE_85_length_266_cov_0.838863	0.4192	0.0833	0.4975
NODE_86_length_266_cov_0.829384	0.8010	0.1331	0.0659
NODE_87_length_265_cov_0.904762	0.3496	0.2785	0.3719
NODE_88_length_265_cov_0.838095	0.3535	0.3482	0.2983
NODE_89_length_264_cov_1.837321	0.7181	0.0377	0.2442
NODE_90_length_264_cov_0.851675	0.4121	0.2950	0.2929
NODE_91_length_264_cov_0.846890	0.7588	0.0563	0.1850
NODE_92_length_264_cov_0.842105	0.7302	0.1255	0.1443
NODE_93_length_264_cov_0.837321	0.3731	0.4797	0.1473
NODE_94_length_264_cov_0.818182	0.3942	0.0629	0.5429
NODE_95_length_263_cov_0.903846	0.4688	0.1074	0.4239
NODE_96_length_263_cov_0.836538	0.9058	0.0406	0.0536
NODE_97_length_263_cov_0.812500	0.1337	0.1127	0.7536
NODE_98_length_262_cov_0.927536	0.5533	0.0563	0.3905
NODE_99_length_262_cov_0.835749	0.1919	0.1091	0.6990
NODE_100_length_262_cov_0.835749	0.6537	0.0777	0.2685
NODE_101_length_262_cov_0.835749	0.7838	0.1481	0.0681
NODE_102_length_262_cov_0.811594	0.3863	0.2537	0.3600
NODE_103_length_262_cov_0.700483	0.1256	0.2333	0.6411
NODE_104_length_261_cov_2.796117	0.5067	0.0602	0.4331
NODE_105_length_261_cov_0.834951	0.4237	0.4188	0.1575
NODE_106_length_261_cov_0.815534	0.3940	0.1534	0.4526
NODE_107_length_261_cov_0.796117	0.6504	0.1958	0.1538
NODE_108_length_260_cov_0.834146	0.5210	0.2228	0.2562
NODE_109_length_260_cov_0.765854	0.8741	0.0876	0.0383
NODE_110_length_259_cov_0.843137	0.2967	0.3637	0.3397
NODE_111_length_259_cov_0.833333	0.1686	0.0829	0.7486
NODE_112_length_259_cov_0.833333	0.1576	0.0461	0.7963
NODE_113_length_259_cov_0.833333	0.1173	0.1927	0.6901
NODE_114_length_259_cov_0.696078	0.1018	0.7370	0.1612
NODE_115_length_258_cov_0.842365	0.1903	0.0523	0.7573
NODE_116_length_258_cov_0.832512	0.5377	0.1498	0.3125
NODE_117_length_258_cov_0.832512	0.1477	0.4679	0.3844
NODE_118_length_258_cov_0.822660	0.7153	0.1837	0.1010
NODE_119_length_258_cov_0.748768	0.1482	0.5204	0.3314
NODE_120_length_257_cov_0.905941	0.9208	0.0243	0.0549
NODE_121_length_257_cov_0.831683	0.8203	0.1461	0.0336
NODE_122_length_257_cov_0.831683	0.2764	0.3133	0.4103
NODE_123_length_257_cov_0.801980	0.1326	0.3406	0.5268
NODE_124_length_257_cov_0.727723	0.4259	0.0609	0.5132
NODE_125_length_256_cov_0.830846	0.7857	0.0896	0.1247
NODE_126_length_255_cov_0.830000	0.1919	0.4385	0.3696
NODE_127_length_255_cov_0.830000	0.6148	0.1071	0.2781
NODE_128_length_255_cov_0.830000	0.6479	0.1565	0.1956
NODE_129_length_255_cov_0.695000	0.3908	0.1254	0.4838
NODE_130_length_255_cov_0.675000	0.6908	0.1966	0.1125
NODE_131_length_254_cov_0.889447	0.8152	0.1480	0.0369
NODE_132_length_254_cov_0.844221	0.2923	0.0850	0.6227
NODE_133_length_254_cov_0.839196	0.8506	0.0487	0.1007
NODE_134_length_254_cov_0.809045	0.7094	0.0864	0.2041
NODE_135_length_253_cov_0.893939	0.0666	0.2390	0.6944
NODE_136_length_253_cov_0.888889	0.6930	0.1978	0.1093
NODE_137_length_253_cov_0.838384	0.8284	0.0772	0.0943
NODE_138_length_253_cov_0.833333	0.1434	0.1236	0.7330
NODE_139_length_253_cov_0.833333	0.8502	0.0659	0.0839
NODE_140_length_253_cov_0.828283	0.4259	0.4286	0.1454
NODE_141_length_253_cov_0.813131	0.0936	0.1467	0.7598
NODE_142_length_253_cov_0.656566	0.4629	0.0531	0.4840
NODE_143_length_252_cov_0.837563	0.8383	0.0467	0.1150
NODE_144_length_252_cov_0.827411	0.8494	0.0563	0.0943
NODE_145_length_252_cov_0.822335	0.8468	0.0622	0.0910
NODE_146_length_252_cov_0.817259	0.9511	0.0305	0.0183
NODE_147_length_251_cov_0.831633	0.3513	0.0730	0.5757
NODE_148_length_251_cov_0.826531	0.2293	0.1967	0.5740
NODE_149_length_250_cov_0.825641	0.9261	0.0440	0.0299
NODE_150_length_250_cov_0.825641	0.3762	0.2063	0.4175
NODE_151_length_249_cov_0.855670	0.5551	0.0624	0.3825
NODE_152_length_249_cov_0.824742	0.2240	0.0604	0.7155
NODE_153_length_249_cov_0.768041	0.2442	0.2742	0.4815
NODE_154_length_249_cov_0.634021	0.2591	0.5359	0.2050
NODE_155_length_248_cov_0.844560	0.6944	0.1386	0.1670
NODE_156_length_248_cov_0.839378	0.7284	0.1472	0.1244
NODE_157_length_248_cov_0.834197	0.6249	0.0656	0.3095
NODE_158_length_248_cov_0.829016	0.3426	0.0582	0.5991
NODE_159_length_248_cov_0.823834	0.0730	0.8640	0.0630
NODE_160_length_248_cov_0.803109	0.7824	0.0563	0.1614
NODE_161_length_248_cov_0.792746	0.2163	0.6669	0.1168
NODE_162_length_247_cov_0.994792	0.0913	0.0443	0.8644
NODE_163_length_247_cov_0.843750	0.2447	0.1601	0.5952
NODE_164_length_246_cov_0.837696	0.8556	0.0651	0.0793
NODE_165_length_246_cov_0.821990	0.7010	0.1406	0.1584
NODE_166_length_246_cov_0.821990	0.8221	0.1207	0.0572
NODE_167_length_246_cov_0.821990	0.8122	0.0659	0.1220
NODE_168_length_245_cov_0.826316	0.1103	0.6128	0.2769
NODE_169_length_245_cov_0.826316	0.8641	0.0922	0.0437
NODE_170_length_245_cov_0.821053	0.7860	0.0685	0.1454
NODE_171_length_245_cov_0.815789	0.1820	0.0615	0.7564
NODE_172_length_245_cov_0.810526	0.7109	0.0540	0.2350
NODE_173_length_245_cov_0.726316	0.1707	0.3250	0.5043
NODE_174_length_245_cov_0.642105	0.2240	0.1227	0.6533
NODE_175_length_244_cov_0.862434	0.1803	0.4341	0.3856
NODE_176_length_244_cov_0.825397	0.2343	0.4452	0.3204
NODE_177_length_244_cov_0.820106	0.8599	0.0750	0.0651
NODE_178_length_244_cov_0.820106	0.7925	0.0636	0.1440
NODE_179_length_243_cov_3.212766	0.5129	0.1243	0.3628
NODE_180_length_243_cov_2.553191	0.2614	0.0801	0.6585
NODE_181_length_243_cov_0.893617	0.3404	0.1428	0.5168
NODE_182_length_243_cov_0.835106	0.8403	0.0657	0.0940
NODE_183_length_243_cov_0.829787	0.1627	0.5590	0.2783
NODE_184_length_243_cov_0.819149	0.7882	0.1491	0.0627
NODE_185_length_243_cov_0.819149	0.3703	0.1168	0.5129
NODE_186_length_242_cov_1.540107	0.1820	0.0380	0.7800
NODE_187_length_242_cov_0.823529	0.8019	0.1372	0.0609
NODE_188_length_241_cov_0.860215	0.2148	0.0423	0.7430
NODE_189_length_241_cov_0.838710	0.3685	0.0610	0.5704
NODE_190_length_241_cov_0.833333	0.4467	0.1498	0.4035
NODE_191_length_241_cov_0.817204	0.4991	0.0499	0.4510
NODE_192_length_241_cov_0.817204	0.2254	0.5781	0.1965
NODE_193_length_241_cov_0.817204	0.8399	0.0505	0.1095
NODE_194_length_240_cov_0.832432	0.0175	0.1528	0.8298
NODE_195_length_240_cov_0.816216	0.7894	0.1366	0.0739
NODE_196_length_239_cov_1.005435	0.8938	0.0648	0.0414
NODE_197_length_239_cov_0.820652	0.2078	0.0442	0.7480
NODE_198_length_239_cov_0.820652	0.3424	0.3825	0.2751
NODE_199_length_239_cov_0.820652	0.3356	0.1280	0.5364
NODE_200_length_239_cov_0.815217	0.0895	0.3935	0.5170
NODE_201_length_239_cov_0.690217	0.8373	0.1195	0.0431
NODE_202_length_238_cov_0.825137	0.1710	0.2794	0.5495
NODE_203_length_238_cov_0.825137	0.8957	0.0602	0.0440
NODE_204_length_238_cov_0.825137	0.1382	0.5106	0.3512
NODE_205_length_238_cov_0.825137	0.7027	0.0611	0.2362
NODE_206_length_238_cov_0.819672	0.6169	0.0877	0.2954
NODE_207_length_238_cov_0.819672	0.8380	0.0426	0.1193
NODE_208_length_238_cov_0.814208	0.3153	0.4416	0.2430
NODE_209_length_238_cov_0.814208	0.7065	0.0662	0.2272
NODE_210_length_237_cov_1.054945	0.9895	0.0062	0.0043
NODE_211_length_236_cov_0.817680	0.3618	0.1027	0.5355
NODE_212_length_235_cov_1.000000	0.5745	0.0496	0.3760
NODE_213_length_235_cov_0.933333	0.2706	0.3361	0.3934
NODE_214_length_235_cov_0.822222	0.4448	0.1147	0.4405
NODE_215_length_234_cov_1.039106	0.4491	0.1018	0.4490
NODE_216_length_234_cov_0.877095	0.2328	0.3873	0.3799
NODE_217_length_234_cov_0.832402	0.1710	0.4502	0.3788
NODE_218_length_233_cov_0.876404	0.6283	0.2771	0.0947
NODE_219_length_233_cov_0.820225	0.1022	0.2855	0.6123
NODE_220_length_233_cov_0.814607	0.8400	0.0947	0.0654
NODE_221_length_233_cov_0.808989	0.2374	0.4777	0.2849
NODE_222_length_233_cov_0.808989	0.3660	0.0647	0.5693
NODE_223_length_232_cov_1.011299	0.1905	0.2463	0.5632
NODE_224_length_232_cov_0.796610	0.6682	0.2172	0.1146
NODE_225_length_231_cov_0.806818	0.3147	0.2906	0.3947
NODE_226_length_230_cov_0.822857	0.3093	0.1725	0.5181
NODE_227_length_230_cov_0.805714	0.4424	0.1210	0.4366
NODE_228_length_230_cov_0.805714	0.8441	0.0782	0.0777
NODE_229_length_230_cov_0.422857	0.1410	0.5311	0.3279
NODE_230_length_230_cov_0.382857	0.7720	0.0653	0.1627
NODE_231_length_229_cov_0.885057	0.7020	0.1399	0.1582
NODE_232_length_229_cov_0.816092	0.6291	0.3017	0.0692
NODE_233_length_229_cov_0.804598	0.7219	0.0510	0.2271
NODE_234_length_228_cov_0.815029	0.3595	0.1133	0.5272
NODE_235_length_228_cov_0.803468	0.5547	0.2011	0.2442
NODE_236_length_227_cov_1.674419	0.4638	0.0427	0.4935
NODE_237_length_227_cov_0.889535	0.2213	0.0285	0.7502
NODE_238_length_227_cov_0.808140	0.8546	0.0781	0.0672
NODE_239_length_227_cov_0.808140	0.4101	0.0814	0.5086
NODE_240_length_225_cov_0.870588	0.2185	0.2515	0.5300
NODE_241_length_225_cov_0.800000	0.8184	0.0644	0.1172
NODE_242_length_225_cov_0.794118	0.1013	0.4959	0.4027
NODE_243_length_224_cov_0.798817	0.3329	0.1229	0.5442
NODE_244_length_222_cov_0.808383	0.3601	0.0821	0.5578
NODE_245_length_221_cov_11.186747	0.6136	0.0990	0.2875
NODE_246_length_221_cov_1.018072	0.1911	0.4394	0.3695
NODE_247_length_220_cov_1.030303	0.5430	0.2036	0.2535
NODE_248_length_219_cov_2.341463	0.4186	0.0944	0.4870
NODE_249_length_218_cov_2.944785	0.1389	0.0281	0.8330
NODE_250_length_217_cov_1.037037	0.1063	0.2492	0.6445
NODE_251_length_216_cov_1.006211	0.5372	0.1943	0.2685
NODE_252_length_216_cov_0.838509	0.3595	0.3064	0.3341
NODE_253_length_215_cov_1.200000	0.2779	0.0721	0.6500
NODE_254_length_213_cov_1.594937	0.4673	0.1088	0.4239
NODE_255_length_213_cov_1.018987	0.6392	0.0470	0.3138
NODE_256_length_213_cov_1.018987	0.4612	0.0517	0.4871
NODE_257_length_211_cov_1.846154	0.0787	0.0574	0.8640
NODE_258_length_211_cov_0.596154	0.0801	0.2280	0.6919
NODE_259_length_210_cov_0.606452	0.4800	0.0742	0.4458
NODE_260_length_210_cov_0.600000	0.4232	0.2082	0.3687
NODE_261_length_210_cov_0.445161	0.8688	0.0905	0.0407
NODE_262_length_210_cov_0.445161	0.2686	0.3419	0.3895
NODE_263_length_209_cov_1.025974	0.4207	0.5301	0.0491
NODE_264_length_208_cov_1.006536	0.3895	0.1482	0.4622
NODE_265_length_146_cov_1.263736	0.2155	0.5050	0.2795
NODE_266_length_113_cov_1340.931034	0.0953	0.0254	0.8794
NODE_267_length_108_cov_130.188679	0.2393	0.3973	0.3634
NODE_268_length_108_cov_6.660377	0.1320	0.5513	0.3167
NODE_269_length_108_cov_5.849057	0.1032	0.5298	0.3670
NODE_270_length_106_cov_32.568627	0.2045	0.4394	0.3560
NODE_271_length_104_cov_7.959184	0.3582	0.5548	0.0870
NODE_272_length_104_cov_3.612245	0.2633	0.4348	0.3019
NODE_273_length_103_cov_3.479167	0.2356	0.4082	0.3562
NODE_274_length_100_cov_4.266667	0.1750	0.4844	0.3405
NODE_275_length_99_cov_18.636364	0.2979	0.3998	0.3023
NODE_276_length_99_cov_18.295455	0.1183	0.5407	0.3410
NODE_277_length_97_cov_14.761905	0.1181	0.4307	0.4512
NODE_278_length_96_cov_35.926829	0.3175	0.3771	0.3054
NODE_279_length_76_cov_561.047619	0.2176	0.2913	0.4911
NODE_280_length_70_cov_312.400000	0.4936	0.1903	0.3161
NODE_281_length_69_cov_3.642857	0.8586	0.0849	0.0565
NODE_282_length_62_cov_23.285714	0.8418	0.0901	0.0681
NODE_283_length_60_cov_64.600000	0.8125	0.0993	0.0882
NODE_284_length_60_cov_1.600000	0.7051	0.0457	0.2492
NODE_285_length_59_cov_91.000000	0.6713	0.1399	0.1888
NODE_286_length_59_cov_58.500000	0.6682	0.1476	0.1842
NODE_287_length_59_cov_22.500000	0.8430	0.0834	0.0736
NODE_288_length_59_cov_1.000000	0.6732	0.0517	0.2751
NODE_289_length_58_cov_993.000000	0.6556	0.1456	0.1988
NODE_290_length_58_cov_809.333333	0.8311	0.0926	0.0763
NODE_291_length_58_cov_263.000000	0.6549	0.1429	0.2021
NODE_292_length_58_cov_31.666667	0.8242	0.0958	0.0800
NODE_293_length_58_cov_16.666667	0.8317	0.0908	0.0776
NODE_294_length_58_cov_15.000000	0.8474	0.0835	0.0691
NODE_295_length_57_cov_297.000000	0.8219	0.0994	0.0787
NODE_296_length_57_cov_175.500000	0.8416	0.0867	0.0717
NODE_297_length_57_cov_34.500000	0.8286	0.0887	0.0827
NODE_298_length_57_cov_8.500000	0.6833	0.1314	0.1853
NODE_299_length_57_cov_5.000000	0.6710	0.1228	0.2062
NODE_300_length_56_cov_156342.000000	0.8247	0.0993	0.0760
NODE_301_length_56_cov_692.000000	0.4241	0.1854	0.3906
NODE_302_length_56_cov_319.000000	0.8316	0.0917	0.0766
NODE_303_length_56_cov_210.000000	0.8264	0.0839	0.0897
NODE_304_length_56_cov_19.000000	0.6893	0.1261	0.1846
NODE_305_length_56_cov_19.000000	0.8244	0.0929	0.0827
NODE_306_length_56_cov_7.000000	0.8468	0.0772	0.0760
NODE_307_length_56_cov_7.000000	0.8376	0.0845	0.0779
NODE_308_length_56_cov_6.000000	0.6777	0.1264	0.1959
NODE_309_length_56_cov_6.000000	0.6593	0.1305	0.2101
NODE_310_length_56_cov_5.000000	0.6765	0.1236	0.1999
NODE_311_length_56_cov_4.000000	0.6544	0.1207	0.2248
NODE_312_length_56_cov_3.000000	0.8177	0.0902	0.0922
