gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_1_length_71609_cov_11815.851385_103	63876	64745	870	-1	0.654	11	GGAG/GAGG	GENOMAD.105501.VV	3.955e-40	153	0	0	1	1246	Caudoviricetes	NA	NA	PF03434;COG3948	Phage-related baseplate assembly protein
NODE_1_length_71609_cov_11815.851385_104	64758	65114	357	-1	0.588	11	GGAGG	GENOMAD.123275.VP	4.567e-11	61	0	0	1	1246	Caudoviricetes	NA	NA	PF04965;K06903;COG3628;TIGR03357	Phage baseplate assembly protein W
NODE_1_length_71609_cov_11815.851385_105	65098	65331	234	-1	0.641	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_106	65349	66833	1485	-1	0.633	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_107	66840	67421	582	-1	0.601	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_108	67421	67909	489	-1	0.599	11	GGAGG	GENOMAD.221358.VP	1.033e-05	47	0	0	1	1246	Caudoviricetes	NA	NA	PF05069;TIGR01635;COG5005	phage virion morphogenesis (putative tail completion) protein
NODE_1_length_71609_cov_11815.851385_109	67909	68337	429	-1	0.646	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_110	68353	68715	363	-1	0.656	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_1_length_71609_cov_11815.851385_111	68807	69787	981	-1	0.647	11	GGA/GAG/AGG	GENOMAD.106858.VP	5.156e-56	201	0	0	1	1246	Caudoviricetes	NA	NA	PF20036	Major capsid protein 13-like
NODE_1_length_71609_cov_11815.851385_112	69905	70816	912	-1	0.610	11	GGAG/GAGG	GENOMAD.028679.VV	4.96e-44	165	0	0	0	15460	Mesyanzhinovviridae	NA	NA	PF20356	NA
NODE_1_length_71609_cov_11815.851385_113	71238	71522	285	-1	0.656	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_1	3	62	60	-1	0.583	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_2	59	712	654	-1	0.615	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_3	950	1900	951	-1	0.647	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_4	1897	2484	588	-1	0.631	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_5	2462	2812	351	-1	0.630	11	AGxAGG/AGGxGG	GENOMAD.087745.VV	2.498e-08	53	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_6	2812	3210	399	-1	0.614	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_7	3324	3938	615	-1	0.624	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_8	4000	5568	1569	-1	0.607	11	AGGA/GGAG/GAGG	GENOMAD.121003.VV	1.138e-30	131	0	0	0	1246	Caudoviricetes	NA	NA	K17680;TIGR00646;COG4026	DNA primase-related protein
NODE_2_length_54278_cov_9516.841027_9	5773	6609	837	-1	0.621	11	GGA/GAG/AGG	GENOMAD.194220.VP	5.659e-06	50	0	0	0	1246	Caudoviricetes	NA	NA	PF13730;COG5529;TIGR03337	Pyocin large subunit
NODE_2_length_54278_cov_9516.841027_10	6723	7331	609	1	0.645	11	GGA/GAG/AGG	GENOMAD.153294.VP	5.439e-37	140	0	0	0	4413	Schitoviridae	NA	NA	PF02075;COG0817;TIGR00228;K01159	Holliday junction resolvasome RuvABC endonuclease subunit
NODE_2_length_54278_cov_9516.841027_11	7600	8307	708	1	0.606	11	GGAG/GAGG	GENOMAD.225488.VP	9.67e-10	61	0	0	0	1	NA	NA	NA	PF08667;TIGR00498;COG1974;K07727	SOS regulatory protein LexA
NODE_2_length_54278_cov_9516.841027_12	8320	8604	285	-1	0.561	11	AGGAG/GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_13	8687	8986	300	-1	0.607	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_14	9123	9317	195	-1	0.615	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_15	9362	9685	324	-1	0.602	11	GGAG/GAGG	GENOMAD.216412.VP	9.864e-23	94	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_16	9682	9927	246	-1	0.610	11	GGAG/GAGG	GENOMAD.225702.VP	0.0002245	40	0	0	0	3322	Kungbxnavirus pT24	NA	NA	PF08792;COG1405	NA
NODE_2_length_54278_cov_9516.841027_17	9927	10031	105	-1	0.543	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_18	10107	10865	759	-1	0.651	11	AGGAG	GENOMAD.133370.VV	1.109e-51	185	0	0	0	1246	Caudoviricetes	NA	NA	PF17338;PF01710;COG2826	Gene product 88; Transposase
NODE_2_length_54278_cov_9516.841027_19	10877	11236	360	-1	0.608	11	GGAG/GAGG	GENOMAD.067773.VV	6.139e-08	52	0	0	0	15667	Pourcelvirus	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_20	11233	11424	192	-1	0.594	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_21	11424	13037	1614	-1	0.614	11	GGA/GAG/AGG	GENOMAD.060983.VV	4.064e-34	142	0	0	0	1246	Caudoviricetes	NA	NA	PF13086;PF13262;TIGR01073;COG1074;K19781	AAA domain
NODE_2_length_54278_cov_9516.841027_22	13111	13479	369	-1	0.599	11	GGAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_23	13482	13643	162	-1	0.593	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_24	13650	13988	339	-1	0.634	11	GGA/GAG/AGG	GENOMAD.027720.VV	4.513e-17	78	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_25	13995	14174	180	-1	0.572	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_26	14174	14653	480	-1	0.627	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_27	14668	16884	2217	-1	0.620	11	AGGA	GENOMAD.095085.VV	4.932e-44	176	0	0	0	1246	Caudoviricetes	NA	NA	COG0326;TIGR00585	Molecular chaperone, HSP90 family
NODE_2_length_54278_cov_9516.841027_28	16919	17944	1026	-1	0.625	11	AGGA	GENOMAD.159595.VC	9.561e-37	145	0	0	0	12190	Drulisvirus	NA	NA	PF04389;TIGR03107;K01270;COG2195	glutamyl aminopeptidase
NODE_2_length_54278_cov_9516.841027_29	17960	19591	1632	-1	0.623	11	GGAGG	GENOMAD.140384.VP	3.582e-74	263	0	0	0	12190	Drulisvirus	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_30	20177	20368	192	-1	0.635	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_31	20352	20537	186	-1	0.618	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_32	20539	21198	660	-1	0.621	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_2_length_54278_cov_9516.841027_33	21514	21891	378	-1	0.648	11	GGA/GAG/AGG	GENOMAD.139980.VV	1.216e-44	158	0	0	0	1	NA	NA	NA	TIGR00336;COG2236	orotate phosphoribosyltransferase
NODE_2_length_54278_cov_9516.841027_34	21888	22160	273	-1	0.608	11	GGAG/GAGG	GENOMAD.224814.PV	6.386e-05	42	0	0	0	3315	Smoothievirus smoothie	NA	NA	NA	NA
