query	target	aligned_genes	percent_genes	aligned_length	percent_length	identity	score
NODE_edge_2+_length_45381_cov_280	CheckV-046625	24	36.92	6769	49.45	51.55	3489.42
NODE_edge_2+_length_45381_cov_280	CheckV-046131	21	32.31	6249	45.65	55.7	3480.69
NODE_edge_2+_length_45381_cov_280	CheckV-048594	24	36.92	6769	49.45	51.41	3479.94
NODE_edge_2+_length_45381_cov_280	CheckV-056429	22	33.85	6278	45.86	55.42	3479.27
NODE_edge_2+_length_45381_cov_280	CheckV-048210	24	36.92	6600	48.22	52.47	3463.02
NODE_edge_2+_length_45381_cov_280	CheckV-054992	23	35.38	6472	47.28	53.42	3457.34
NODE_edge_2+_length_45381_cov_280	CheckV-053391	24	36.92	6600	48.22	52.31	3452.46
NODE_edge_2+_length_45381_cov_280	CheckV-056038	23	35.38	6505	47.52	53.04	3450.25
NODE_edge_2+_length_45381_cov_280	CheckV-046624	24	36.92	6600	48.22	52.27	3449.82
NODE_edge_2+_length_45381_cov_280	CheckV-052199	23	35.38	6472	47.28	53.19	3442.46
NODE_edge_2+_length_45381_cov_280	CheckV-044944	23	35.38	6299	46.02	54.64	3441.77
NODE_edge_2+_length_45381_cov_280	CheckV-048478	23	35.38	6483	47.36	52.9	3429.51
NODE_edge_2+_length_45381_cov_280	CheckV-051534	23	35.38	6461	47.2	53.07	3428.85
NODE_edge_2+_length_45381_cov_280	CheckV-046402	22	33.85	6397	46.73	53.43	3417.92
NODE_edge_2+_length_45381_cov_280	CheckV-059252	23	35.38	6483	47.36	52.65	3413.3
NODE_edge_2+_length_45381_cov_280	CheckV-056264	23	35.38	6593	48.17	51.76	3412.54
NODE_edge_2+_length_45381_cov_280	CheckV-044728	21	32.31	6112	44.65	55.72	3405.61
NODE_edge_2+_length_45381_cov_280	CheckV-048013	23	35.38	6483	47.36	52.52	3404.87
NODE_edge_2+_length_45381_cov_280	CheckV-044977	22	33.85	6486	47.38	52.49	3404.5
NODE_edge_2+_length_45381_cov_280	CheckV-056221	22	33.85	6299	46.02	54.0	3401.46
NODE_edge_2+_length_45381_cov_280	CheckV-056729	21	32.31	5926	43.29	57.26	3393.23
NODE_edge_2+_length_45381_cov_280	CheckV-044982	23	35.38	6555	47.89	51.74	3391.56
NODE_edge_2+_length_45381_cov_280	CheckV-056722	23	35.38	6483	47.36	52.28	3389.31
NODE_edge_2+_length_45381_cov_280	CheckV-047918	21	32.31	5913	43.2	57.25	3385.19
NODE_edge_2+_length_45381_cov_280	CheckV-051460	22	33.85	6317	46.15	53.54	3382.12
NODE_edge_2+_length_45381_cov_280	CheckV-045088	22	33.85	6325	46.21	53.35	3374.39
NODE_edge_2+_length_45381_cov_280	CheckV-044880	22	33.85	6364	46.49	52.96	3370.37
NODE_edge_2+_length_45381_cov_280	CheckV-048226	22	33.85	6325	46.21	53.27	3369.33
NODE_edge_2+_length_45381_cov_280	CheckV-049740	21	32.31	6339	46.31	53.07	3364.11
NODE_edge_2+_length_45381_cov_280	CheckV-050098	21	32.31	6339	46.31	53.03	3361.57
NODE_edge_2+_length_45381_cov_280	CheckV-060410	22	33.85	6374	46.57	52.6	3352.72
NODE_edge_2+_length_45381_cov_280	CheckV-047919	22	33.85	6323	46.19	53.02	3352.45
NODE_edge_2+_length_45381_cov_280	CheckV-048974	22	33.85	6308	46.08	53.12	3350.81
NODE_edge_2+_length_45381_cov_280	CheckV-045194	20	30.77	5861	42.82	57.16	3350.15
NODE_edge_2+_length_45381_cov_280	CheckV-051542	22	33.85	6308	46.08	52.98	3341.98
NODE_edge_2+_length_45381_cov_280	CheckV-044979	22	33.85	6375	46.57	52.42	3341.78
NODE_edge_2+_length_45381_cov_280	CheckV-055332	22	33.85	6308	46.08	52.96	3340.72
NODE_edge_2+_length_45381_cov_280	CheckV-043587	23	35.38	6425	46.94	51.98	3339.72
NODE_edge_2+_length_45381_cov_280	CheckV-049831	21	32.31	6215	45.4	53.73	3339.32
NODE_edge_2+_length_45381_cov_280	CheckV-052173	22	33.85	6323	46.19	52.77	3336.65
NODE_edge_2+_length_45381_cov_280	CheckV-056252	22	33.85	6186	45.19	53.87	3332.4
NODE_edge_2+_length_45381_cov_280	CheckV-053417	22	33.85	6186	45.19	53.86	3331.78
NODE_edge_2+_length_45381_cov_280	CheckV-056269	22	33.85	6186	45.19	53.86	3331.78
NODE_edge_2+_length_45381_cov_280	CheckV-059962	22	33.85	6308	46.08	52.74	3326.84
NODE_edge_2+_length_45381_cov_280	CheckV-051156	21	32.31	6281	45.89	52.96	3326.42
NODE_edge_2+_length_45381_cov_280	CheckV-048487	22	33.85	6308	46.08	52.73	3326.21
NODE_edge_2+_length_45381_cov_280	CheckV-043330	21	32.31	6200	45.3	53.53	3318.86
NODE_edge_2+_length_45381_cov_280	CheckV-048212	22	33.85	6186	45.19	53.62	3316.93
NODE_edge_2+_length_45381_cov_280	CheckV-045069	21	32.31	6200	45.3	53.4	3310.8
NODE_edge_2+_length_45381_cov_280	CheckV-049742	21	32.31	6161	45.01	53.0	3265.33
NODE_edge_2+_length_45381_cov_280	CheckV-056728	22	33.85	6186	45.19	52.77	3264.35
NODE_edge_2+_length_45381_cov_280	CheckV-050056	21	32.31	6161	45.01	52.92	3260.4
NODE_edge_2+_length_45381_cov_280	CheckV-046592	21	32.31	6078	44.4	53.47	3249.91
NODE_edge_2+_length_45381_cov_280	CheckV-050096	20	30.77	6025	44.02	53.82	3242.66
NODE_edge_2+_length_45381_cov_280	CheckV-048556	21	32.31	6078	44.4	53.21	3234.1
NODE_edge_2+_length_45381_cov_280	CheckV-045410	21	32.31	6078	44.4	53.15	3230.46
NODE_edge_2+_length_45381_cov_280	CheckV-048248	21	32.31	6255	45.7	51.6	3227.58
NODE_edge_2+_length_45381_cov_280	CheckV-048544	21	32.31	6121	44.72	52.68	3224.54
NODE_edge_2+_length_45381_cov_280	CheckV-044367	20	30.77	6025	44.02	53.5	3223.38
NODE_edge_2+_length_45381_cov_280	CheckV-050032	21	32.31	6078	44.4	53.0	3221.34
NODE_edge_2+_length_45381_cov_280	CheckV-048383	21	32.31	6149	44.92	52.38	3220.85
NODE_edge_2+_length_45381_cov_280	CheckV-048535	21	32.31	6121	44.72	52.6	3219.65
NODE_edge_2+_length_45381_cov_280	CheckV-056258	21	32.31	6088	44.48	52.87	3218.73
NODE_edge_2+_length_45381_cov_280	CheckV-048981	20	30.77	6025	44.02	53.39	3216.75
NODE_edge_2+_length_45381_cov_280	CheckV-046000	21	32.31	6078	44.4	52.87	3213.44
NODE_edge_2+_length_45381_cov_280	CheckV-048597	20	30.77	6025	44.02	53.28	3210.12
NODE_edge_2+_length_45381_cov_280	CheckV-058631	21	32.31	6078	44.4	52.69	3202.5
NODE_edge_2+_length_45381_cov_280	CheckV-055986	20	30.77	5980	43.69	53.46	3196.91
NODE_edge_2+_length_45381_cov_280	CheckV-047985	20	30.77	6053	44.22	52.68	3188.72
NODE_edge_2+_length_45381_cov_280	CheckV-058532	21	32.31	6063	44.29	52.35	3173.98
NODE_edge_2+_length_45381_cov_280	CheckV-048503	19	29.23	5646	41.25	56.2	3173.05
NODE_edge_2+_length_45381_cov_280	CheckV-060409	21	32.31	5996	43.8	52.83	3167.69
NODE_edge_2+_length_45381_cov_280	CheckV-056261	20	30.77	6053	44.22	52.29	3165.11
NODE_edge_2+_length_45381_cov_280	CheckV-045038	20	30.77	5903	43.13	53.6	3164.01
NODE_edge_2+_length_45381_cov_280	CheckV-054200	20	30.77	6008	43.89	52.64	3162.61
NODE_edge_2+_length_45381_cov_280	CheckV-055989	20	30.77	5980	43.69	52.87	3161.63
NODE_edge_2+_length_45381_cov_280	CheckV-046611	20	30.77	5931	43.33	53.05	3146.4
NODE_edge_2+_length_45381_cov_280	CheckV-049832	18	27.69	5647	41.26	55.71	3145.94
NODE_edge_2+_length_45381_cov_280	CheckV-054196	20	30.77	5957	43.52	52.56	3131.0
NODE_edge_2+_length_45381_cov_280	CheckV-046036	20	30.77	5888	43.02	52.93	3116.52
NODE_edge_2+_length_45381_cov_280	CheckV-045980	20	30.77	6008	43.89	51.56	3097.72
NODE_edge_2+_length_45381_cov_280	CheckV-054148	20	30.77	5846	42.71	52.8	3086.69
NODE_edge_2+_length_45381_cov_280	CheckV-045094	19	29.23	5710	41.72	53.82	3073.12
NODE_edge_2+_length_45381_cov_280	CheckV-054159	19	29.23	5710	41.72	53.8	3071.98
NODE_edge_2+_length_45381_cov_280	CheckV-048217	19	29.23	5710	41.72	53.74	3068.55
NODE_edge_2+_length_45381_cov_280	CheckV-056009	19	29.23	5771	42.16	53.14	3066.71
NODE_edge_2+_length_45381_cov_280	CheckV-055964	19	29.23	5913	43.2	51.86	3066.48
NODE_edge_2+_length_45381_cov_280	CheckV-056005	19	29.23	5849	42.73	52.36	3062.54
NODE_edge_2+_length_45381_cov_280	CheckV-054153	19	29.23	5710	41.72	53.08	3030.87
NODE_edge_2+_length_45381_cov_280	CheckV-056228	18	27.69	5563	40.64	53.38	2969.53
NODE_edge_2+_length_45381_cov_280	CheckV-056229	18	27.69	5563	40.64	52.65	2928.92
NODE_edge_2+_length_45381_cov_280	CheckV-056010	18	27.69	5447	39.79	53.44	2910.88
NODE_edge_2+_length_45381_cov_280	CheckV-051541	17	26.15	5436	39.71	53.35	2900.11
NODE_edge_2+_length_45381_cov_280	CheckV-056730	21	32.31	5504	40.21	51.49	2834.01
NODE_edge_2+_length_45381_cov_280	CheckV-042106	18	27.69	4973	36.33	52.35	2603.37
NODE_edge_2+_length_45381_cov_280	CheckV-051560	18	27.69	4973	36.33	51.91	2581.48
NODE_edge_2+_length_45381_cov_280	CheckV-050088	18	27.69	4973	36.33	51.82	2577.01
NODE_edge_2+_length_45381_cov_280	CheckV-059222	17	26.15	4782	34.94	51.69	2471.82
NODE_edge_2+_length_45381_cov_280	CheckV-058969	17	26.15	4782	34.94	51.64	2469.42
NODE_edge_2+_length_45381_cov_280	CheckV-059214	17	26.15	4782	34.94	51.64	2469.42
NODE_edge_2+_length_45381_cov_280	CheckV-048017	16	24.62	4510	32.95	52.66	2374.97
NODE_edge_2+_length_45381_cov_280	CheckV-043554	16	24.62	4510	32.95	52.59	2371.81
NODE_edge_2+_length_45381_cov_280	CheckV-055323	16	24.62	4510	32.95	52.42	2364.14
NODE_edge_2+_length_45381_cov_280	CheckV-046099	16	24.62	4510	32.95	52.39	2362.79
NODE_edge_2+_length_45381_cov_280	CheckV-045091	16	24.62	4510	32.95	52.38	2362.34
NODE_edge_2+_length_45381_cov_280	CheckV-046024	16	24.62	4510	32.95	52.33	2360.08
NODE_edge_2+_length_45381_cov_280	CheckV-044876	16	24.62	4510	32.95	52.33	2360.08
NODE_edge_2+_length_45381_cov_280	CheckV-058733	16	24.62	4510	32.95	52.32	2359.63
NODE_edge_2+_length_45381_cov_280	CheckV-054202	16	24.62	4510	32.95	52.31	2359.18
NODE_edge_2+_length_45381_cov_280	CheckV-044887	16	24.62	4510	32.95	52.21	2354.67
NODE_edge_2+_length_45381_cov_280	CheckV-045151	16	24.62	4510	32.95	52.2	2354.22
NODE_edge_2+_length_45381_cov_280	CheckV-051531	16	24.62	4510	32.95	52.19	2353.77
NODE_edge_2+_length_45381_cov_280	CheckV-045126	16	24.62	4568	33.37	51.51	2352.98
NODE_edge_2+_length_45381_cov_280	CheckV-046009	16	24.62	4510	32.95	52.15	2351.97
NODE_edge_2+_length_45381_cov_280	CheckV-045111	16	24.62	4510	32.95	52.15	2351.97
NODE_edge_2+_length_45381_cov_280	CheckV-051559	16	24.62	4510	32.95	52.14	2351.51
NODE_edge_2+_length_45381_cov_280	CheckV-053969	16	24.62	4510	32.95	52.08	2348.81
NODE_edge_2+_length_45381_cov_280	CheckV-058830	16	24.62	4510	32.95	51.98	2344.3
NODE_edge_2+_length_45381_cov_280	CheckV-053978	16	24.62	4510	32.95	51.96	2343.4
NODE_edge_2+_length_45381_cov_280	CheckV-045095	16	24.62	4606	33.65	50.87	2343.07
NODE_edge_2+_length_45381_cov_280	CheckV-051494	16	24.62	4510	32.95	51.89	2340.24
NODE_edge_2+_length_45381_cov_280	CheckV-050073	16	24.62	4510	32.95	51.85	2338.43
NODE_edge_2+_length_45381_cov_280	CheckV-045086	16	24.62	4510	32.95	51.8	2336.18
NODE_edge_2+_length_45381_cov_280	CheckV-051551	16	24.62	4510	32.95	51.7	2331.67
NODE_edge_2+_length_45381_cov_280	CheckV-045145	16	24.62	4510	32.95	51.66	2329.87
NODE_edge_2+_length_45381_cov_280	CheckV-059970	16	24.62	4510	32.95	51.66	2329.87
NODE_edge_2+_length_45381_cov_280	CheckV-051539	15	23.08	4363	31.87	52.67	2297.99
NODE_edge_2+_length_45381_cov_280	CheckV-051912	15	23.08	4363	31.87	52.33	2283.16
NODE_edge_2+_length_45381_cov_280	CheckV-048979	15	23.08	4363	31.87	52.32	2282.72
NODE_edge_2+_length_45381_cov_280	CheckV-047922	15	23.08	4363	31.87	52.25	2279.67
NODE_edge_2+_length_45381_cov_280	CheckV-044782	15	23.08	4363	31.87	52.2	2277.49
NODE_edge_2+_length_45381_cov_280	CheckV-045586	15	23.08	4363	31.87	52.16	2275.74
NODE_edge_2+_length_45381_cov_280	CheckV-051527	15	23.08	4363	31.87	52.13	2274.43
NODE_edge_2+_length_45381_cov_280	CheckV-056262	15	23.08	4363	31.87	52.1	2273.12
NODE_edge_2+_length_45381_cov_280	CheckV-059660	15	23.08	4363	31.87	52.01	2269.2
NODE_edge_2+_length_45381_cov_280	CheckV-044809	15	23.08	4363	31.87	51.98	2267.89
NODE_edge_2+_length_45381_cov_280	CheckV-050024	15	23.08	4363	31.87	51.9	2264.4
NODE_edge_2+_length_45381_cov_280	CheckV-046101	15	23.08	4335	31.67	52.21	2263.3
NODE_edge_2+_length_45381_cov_280	CheckV-048331	15	23.08	4363	31.87	51.86	2262.65
NODE_edge_2+_length_45381_cov_280	CheckV-046549	15	23.08	4363	31.87	51.84	2261.78
NODE_edge_2+_length_45381_cov_280	CheckV-044955	15	23.08	4363	31.87	51.8	2260.03
NODE_edge_2+_length_45381_cov_280	CheckV-049743	15	23.08	4363	31.87	51.8	2260.03
NODE_edge_2+_length_45381_cov_280	CheckV-051874	15	23.08	4363	31.87	51.8	2260.03
NODE_edge_2+_length_45381_cov_280	CheckV-047921	15	23.08	4363	31.87	51.71	2256.11
NODE_edge_2+_length_45381_cov_280	CheckV-053245	15	23.08	4363	31.87	51.7	2255.67
NODE_edge_2+_length_45381_cov_280	CheckV-049867	15	23.08	4363	31.87	51.56	2249.56
NODE_edge_2+_length_45381_cov_280	CheckV-051546	15	23.08	4363	31.87	51.56	2249.56
NODE_edge_2+_length_45381_cov_280	CheckV-053243	15	23.08	4335	31.67	51.86	2248.13
NODE_edge_2+_length_45381_cov_280	CheckV-056267	15	23.08	4240	30.98	53.0	2247.2
NODE_edge_2+_length_45381_cov_280	CheckV-053970	15	23.08	4290	31.34	51.86	2224.79
NODE_edge_2+_length_45381_cov_280	CheckV-051930	15	23.08	4290	31.34	51.79	2221.79
NODE_edge_2+_length_45381_cov_280	CheckV-046503	16	24.62	4510	32.95	49.22	2219.82
NODE_edge_2+_length_45381_cov_280	CheckV-054133	15	23.08	4252	31.06	52.15	2217.42
NODE_edge_2+_length_45381_cov_280	CheckV-053967	16	24.62	4510	32.95	49.05	2212.16
NODE_edge_2+_length_45381_cov_280	CheckV-051138	15	23.08	4252	31.06	52.0	2211.04
NODE_edge_2+_length_45381_cov_280	CheckV-061176	15	23.08	4252	31.06	51.95	2208.91
NODE_edge_2+_length_45381_cov_280	CheckV-044952	15	23.08	4252	31.06	51.91	2207.21
NODE_edge_2+_length_45381_cov_280	CheckV-050023	15	23.08	4290	31.34	51.45	2207.2
NODE_edge_2+_length_45381_cov_280	CheckV-051137	15	23.08	4252	31.06	51.89	2206.36
NODE_edge_2+_length_45381_cov_280	CheckV-045121	15	23.08	4252	31.06	51.82	2203.39
NODE_edge_2+_length_45381_cov_280	CheckV-054138	15	23.08	4252	31.06	51.81	2202.96
NODE_edge_2+_length_45381_cov_280	CheckV-053974	15	23.08	4252	31.06	51.77	2201.26
NODE_edge_2+_length_45381_cov_280	CheckV-054146	15	23.08	4252	31.06	51.69	2197.86
NODE_edge_2+_length_45381_cov_280	CheckV-051563	15	23.08	4252	31.06	51.62	2194.88
NODE_edge_2+_length_45381_cov_280	CheckV-053975	15	23.08	4252	31.06	51.6	2194.03
NODE_edge_2+_length_45381_cov_280	CheckV-046067	15	23.08	4252	31.06	51.54	2191.48
NODE_edge_2+_length_45381_cov_280	CheckV-050095	15	23.08	4252	31.06	51.53	2191.06
NODE_edge_2+_length_45381_cov_280	CheckV-050017	15	23.08	4252	31.06	51.49	2189.35
NODE_edge_2+_length_45381_cov_280	CheckV-053972	14	21.54	4188	30.6	51.8	2169.38
NODE_edge_2+_length_45381_cov_280	CheckV-054144	15	23.08	4363	31.87	48.92	2134.38
NODE_edge_2+_length_45381_cov_280	CheckV-051486	14	21.54	4143	30.27	51.38	2128.67
NODE_edge_2+_length_45381_cov_280	CheckV-055001	14	21.54	4105	29.99	51.68	2121.46
NODE_edge_2+_length_45381_cov_280	CheckV-056253	14	21.54	4105	29.99	51.5	2114.07
NODE_edge_2+_length_45381_cov_280	CheckV-047926	14	21.54	4105	29.99	51.45	2112.02
NODE_edge_2+_length_45381_cov_280	CheckV-045167	14	21.54	4105	29.99	51.44	2111.61
NODE_edge_2+_length_45381_cov_280	CheckV-048327	14	21.54	4105	29.99	51.44	2111.61
NODE_edge_2+_length_45381_cov_280	CheckV-056732	14	21.54	4105	29.99	51.43	2111.2
NODE_edge_2+_length_45381_cov_280	CheckV-047917	14	21.54	4105	29.99	51.42	2110.79
NODE_edge_2+_length_45381_cov_280	CheckV-048616	14	21.54	4105	29.99	51.25	2103.81
NODE_edge_2+_length_45381_cov_280	CheckV-043626	14	21.54	4077	29.79	51.53	2100.88
NODE_edge_2+_length_45381_cov_280	CheckV-053244	14	21.54	4143	30.27	50.61	2096.77
NODE_edge_2+_length_45381_cov_280	CheckV-046170	14	21.54	4105	29.99	51.07	2096.42
NODE_edge_2+_length_45381_cov_280	CheckV-045970	14	21.54	4077	29.79	51.21	2087.83
NODE_edge_2+_length_45381_cov_280	CheckV-045120	15	23.08	4252	31.06	48.98	2082.63
NODE_edge_2+_length_45381_cov_280	CheckV-053968	15	23.08	4290	31.34	48.13	2064.78
NODE_edge_2+_length_45381_cov_280	CheckV-046151	14	21.54	4032	29.46	50.82	2049.06
NODE_edge_2+_length_45381_cov_280	CheckV-054132	13	20.0	3958	28.92	51.71	2046.68
NODE_edge_2+_length_45381_cov_280	CheckV-043413	14	21.54	4105	29.99	48.44	1988.46
NODE_edge_2+_length_45381_cov_280	CheckV-051875	13	20.0	3835	28.02	51.71	1983.08
NODE_edge_2+_length_45381_cov_280	CheckV-050100	14	21.54	4105	29.99	48.3	1982.71
NODE_edge_2+_length_45381_cov_280	CheckV-055333	13	20.0	3835	28.02	51.7	1982.69
NODE_edge_2+_length_45381_cov_280	CheckV-015197	12	18.46	3403	24.86	52.81	1797.12
NODE_edge_2+_length_45381_cov_280	CheckV-009857	11	16.92	3490	25.5	51.3	1790.37
NODE_edge_2+_length_45381_cov_280	CheckV-053401	8	12.31	3134	22.9	42.91	1344.8
NODE_edge_2+_length_45381_cov_280	CheckV-051154	7	10.77	2844	20.78	44.5	1265.58
NODE_edge_2+_length_45381_cov_280	CheckV-000119	7	10.77	2520	18.41	41.35	1042.02
NODE_edge_2+_length_45381_cov_280	CheckV-009976	6	9.23	2087	15.25	46.18	963.78
NODE_edge_2+_length_45381_cov_280	CheckV-050074	5	7.69	1898	13.87	44.6	846.51
NODE_edge_2+_length_45381_cov_280	CheckV-056726	5	7.69	1792	13.09	47.09	843.85
NODE_edge_2+_length_45381_cov_280	CheckV-047931	5	7.69	1898	13.87	44.43	843.28
NODE_edge_2+_length_45381_cov_280	CheckV-058626	4	6.15	1604	11.72	48.66	780.51
NODE_edge_2+_length_45381_cov_280	CheckV-051454	5	7.69	2062	15.06	37.67	776.76
NODE_edge_2+_length_45381_cov_280	CheckV-058625	4	6.15	1604	11.72	48.24	773.77
NODE_edge_2+_length_45381_cov_280	CheckV-051465	4	6.15	1604	11.72	48.2	773.13
NODE_edge_2+_length_45381_cov_280	CheckV-048249	4	6.15	1604	11.72	48.16	772.49
NODE_edge_2+_length_45381_cov_280	CheckV-049790	4	6.15	1604	11.72	48.06	770.88
NODE_edge_2+_length_45381_cov_280	CheckV-047963	4	6.15	1604	11.72	48.0	769.92
NODE_edge_2+_length_45381_cov_280	CheckV-058875	4	6.15	1604	11.72	47.89	768.16
NODE_edge_2+_length_45381_cov_280	CheckV-048064	4	6.15	1604	11.72	47.8	766.71
NODE_edge_2+_length_45381_cov_280	CheckV-058876	4	6.15	1604	11.72	47.77	766.23
NODE_edge_2+_length_45381_cov_280	CheckV-054145	4	6.15	1604	11.72	47.75	765.91
NODE_edge_2+_length_45381_cov_280	CheckV-049770	4	6.15	1604	11.72	47.72	765.43
NODE_edge_2+_length_45381_cov_280	CheckV-059991	4	6.15	1604	11.72	47.66	764.47
NODE_edge_2+_length_45381_cov_280	CheckV-049019	4	6.15	1604	11.72	47.63	763.99
NODE_edge_2+_length_45381_cov_280	CheckV-048959	4	6.15	1604	11.72	47.58	763.18
NODE_edge_2+_length_45381_cov_280	CheckV-058872	4	6.15	1604	11.72	47.53	762.38
NODE_edge_2+_length_45381_cov_280	CheckV-044779	4	6.15	1604	11.72	47.46	761.26
NODE_edge_2+_length_45381_cov_280	CheckV-058856	4	6.15	1604	11.72	47.4	760.3
NODE_edge_2+_length_45381_cov_280	CheckV-044814	4	6.15	1604	11.72	47.4	760.3
NODE_edge_2+_length_45381_cov_280	CheckV-048592	4	6.15	1604	11.72	47.39	760.14
NODE_edge_2+_length_45381_cov_280	CheckV-048593	4	6.15	1604	11.72	47.38	759.98
NODE_edge_2+_length_45381_cov_280	CheckV-048960	4	6.15	1604	11.72	47.24	757.73
NODE_edge_2+_length_45381_cov_280	CheckV-060333	4	6.15	1604	11.72	47.24	757.73
NODE_edge_2+_length_45381_cov_280	CheckV-051936	4	6.15	1604	11.72	47.2	757.09
NODE_edge_2+_length_45381_cov_280	CheckV-051568	4	6.15	1604	11.72	46.99	753.72
NODE_edge_2+_length_45381_cov_280	CheckV-053986	4	6.15	1604	11.72	46.91	752.44
NODE_edge_2+_length_45381_cov_280	CheckV-048958	4	6.15	1604	11.72	46.82	750.99
NODE_edge_2+_length_45381_cov_280	CheckV-051918	4	6.15	1604	11.72	46.81	750.83
NODE_edge_2+_length_45381_cov_280	CheckV-048957	4	6.15	1604	11.72	46.39	744.1
NODE_edge_2+_length_45381_cov_280	CheckV-058874	4	6.15	1551	11.33	44.58	691.44
NODE_edge_2+_length_45381_cov_280	CheckV-058877	4	6.15	1551	11.33	44.5	690.2
NODE_edge_2+_length_45381_cov_280	CheckV-010376	4	6.15	1454	10.62	47.15	685.56
NODE_edge_2+_length_45381_cov_280	CheckV-055627	3	4.62	1384	10.11	49.06	678.99
NODE_edge_2+_length_45381_cov_280	CheckV-058873	4	6.15	1551	11.33	43.74	678.41
