gene	start	end	length	strand	gc_content	genetic_code	rbs_motif	marker	evalue	bitscore	uscg	plasmid_hallmark	virus_hallmark	taxid	taxname	annotation_conjscan	annotation_amr	annotation_accessions	annotation_description
NODE_edge_2+_length_45381_cov_280_21	14623	17970	3348	1	0.596	11	GGAG/GAGG	GENOMAD.116682.VP	1.368e-47	190	0	0	0	4599	Fromanvirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_22	17979	18851	873	1	0.586	11	AGGAG	GENOMAD.023648.VV	3.06e-86	287	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_23	18848	20473	1626	1	0.590	11	GGxGG	GENOMAD.017712.VV	4.72e-242	751	0	0	0	1246	Caudoviricetes	NA	NA	PF14594	Siphovirus ReqiPepy6 Gp37-like protein
NODE_edge_2+_length_45381_cov_280_24	20487	20927	441	1	0.587	11	GGA/GAG/AGG	GENOMAD.021003.VV	4.187e-41	149	0	0	0	1246	Caudoviricetes	NA	NA	PF10910	NA
NODE_edge_2+_length_45381_cov_280_25	20936	21262	327	1	0.563	11	AGGAGG	GENOMAD.066944.VV	4.625e-23	95	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_26	21259	21579	321	1	0.595	11	3Base/5BMM	GENOMAD.039876.VV	1.868e-31	119	0	0	0	4599	Fromanvirus	NA	NA	PF10805	NA
NODE_edge_2+_length_45381_cov_280_27	21593	24115	2523	1	0.604	11	AGGAGG	GENOMAD.066276.VV	0.0	1080	0	0	0	18558	Rerduovirus	NA	NA	PF23918	NA
NODE_edge_2+_length_45381_cov_280_28	24112	24597	486	1	0.607	11	GGxGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_29	24640	25581	942	-1	0.589	11	None	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_30	25685	26008	324	1	0.617	11	GGA/GAG/AGG	GENOMAD.223176.VP	1.488e-10	59	0	0	0	1246	Caudoviricetes	NA	NA	PF10935	NA
NODE_edge_2+_length_45381_cov_280_31	26084	26287	204	-1	0.598	11	AGGA	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_32	26291	26854	564	-1	0.613	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_33	26851	27171	321	-1	0.604	11	GGA/GAG/AGG	GENOMAD.216544.VV	7.425e-57	192	0	0	0	18558	Rerduovirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_34	27168	27392	225	-1	0.573	11	AGGAG	GENOMAD.216581.VV	1.19e-36	132	0	0	0	18558	Rerduovirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_35	27675	29459	1785	-1	0.576	11	AGGAG	GENOMAD.146693.VC	4.292e-05	49	0	0	0	1246	Caudoviricetes	NA	NA	PF00476	DNA polymerase family A
NODE_edge_2+_length_45381_cov_280_36	29468	29719	252	-1	0.563	11	GGAG/GAGG	GENOMAD.218374.VP	1.728e-07	49	0	0	0	1246	Caudoviricetes	NA	NA	PF08822;PF06156;TIGR01321;COG2826	trp operon repressor, proteobacterial
NODE_edge_2+_length_45381_cov_280_37	29755	30516	762	-1	0.594	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_38	30618	31142	525	-1	0.611	11	AGGAG	GENOMAD.041011.VV	3.07e-21	93	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_39	31152	33197	2046	-1	0.585	11	AGGAG	GENOMAD.058930.VV	9.022e-15	81	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_40	33207	33362	156	-1	0.596	11	None	GENOMAD.054729.VV	3.709e-15	69	0	0	1	1246	Caudoviricetes	NA	NA	PF17468	Phage gene product 52
NODE_edge_2+_length_45381_cov_280_41	33362	33952	591	-1	0.585	11	GGAGG	GENOMAD.050937.VV	5.977e-33	128	0	0	0	1246	Caudoviricetes	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_42	33956	34729	774	-1	0.580	11	GGAG/GAGG	GENOMAD.005449.VV	1.544e-87	289	0	0	0	1246	Caudoviricetes	NA	NA	PF12850;TIGR00024;COG1407;K07096	putative phosphoesterase, SbcD/Mre11-related
NODE_edge_2+_length_45381_cov_280_43	34713	35084	372	-1	0.583	11	AGGAG	GENOMAD.040800.VV	1.536e-65	218	0	0	1	1246	Caudoviricetes	NA	NA	PF11753	Protein of unknwon function (DUF3310)
NODE_edge_2+_length_45381_cov_280_44	35125	35421	297	-1	0.559	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_45	35418	35738	321	-1	0.542	11	AGGA	GENOMAD.216576.VV	6.082e-51	175	0	0	0	18558	Rerduovirus	NA	NA	PF09629	YorP protein
NODE_edge_2+_length_45381_cov_280_46	35741	36400	660	-1	0.605	11	GGAG/GAGG	GENOMAD.076386.VV	4.73e-100	323	0	0	0	1246	Caudoviricetes	NA	NA	PF13362;TIGR00646;COG1658	DNA primase-related protein
NODE_edge_2+_length_45381_cov_280_47	36631	37452	822	-1	0.585	11	AGGAG	GENOMAD.216568.VV	5.231e-160	499	0	0	0	18558	Rerduovirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_48	37479	37919	441	-1	0.574	11	GGxGG	GENOMAD.117046.VV	7.588e-17	79	0	0	0	4599	Fromanvirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_49	37916	38245	330	-1	0.585	11	AGGAG	GENOMAD.216560.VV	1.912e-56	191	0	0	0	18558	Rerduovirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_50	38257	39138	882	-1	0.573	11	AGGAGG	GENOMAD.015180.VV	4.255e-74	252	0	0	0	1246	Caudoviricetes	NA	NA	PF06023;K07465;TIGR01896;COG2887	CRISPR-associated protein Cas4/Csa1, subtype I-A/APERN
NODE_edge_2+_length_45381_cov_280_51	39234	39479	246	1	0.577	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_52	39502	39630	129	-1	0.543	11	AGGA/GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_53	39656	40465	810	-1	0.573	11	GGAGG	GENOMAD.154559.VC	1.249e-77	261	0	0	0	4599	Fromanvirus	NA	NA	PF06023;K07465;COG2887;TIGR01896	CRISPR-associated exonuclease Csa1
NODE_edge_2+_length_45381_cov_280_54	40466	40708	243	-1	0.543	11	AGGAG	GENOMAD.182445.VP	5.713e-24	96	0	0	0	1246	Caudoviricetes	NA	NA	PF17429;PF11242;TIGR00721;COG3415	Gene product 70
NODE_edge_2+_length_45381_cov_280_55	40724	41248	525	-1	0.564	11	AGGA	GENOMAD.182445.VP	1.335e-83	273	0	0	0	1246	Caudoviricetes	NA	NA	PF17429;PF11242;TIGR00721;COG3415	Gene product 70
NODE_edge_2+_length_45381_cov_280_56	41423	41590	168	-1	0.542	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_57	41914	42249	336	-1	0.557	11	GGAG/GAGG	GENOMAD.108720.VV	7.033e-36	132	0	0	0	3433	Kostyavirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_58	42246	42605	360	-1	0.567	11	GGA/GAG/AGG	GENOMAD.119538.VV	6.161e-41	147	0	0	0	4599	Fromanvirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_59	42691	42945	255	-1	0.588	11	GGA/GAG/AGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_60	42947	43174	228	-1	0.588	11	AGGAG	GENOMAD.152510.VP	6.141e-07	47	0	0	0	5387	Bclasvirinae	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_61	43174	43302	129	-1	0.535	11	GGAG/GAGG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_62	43313	43525	213	-1	0.559	11	GGAG/GAGG	GENOMAD.226980.VP	4.104e-30	113	0	0	0	4599	Fromanvirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_63	43590	44138	549	-1	0.570	11	AGGAG	NA	NA	NA	0	0	0	1	NA	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_64	44385	44789	405	-1	0.575	11	AGGAG	GENOMAD.108720.VV	7.433e-12	64	0	0	0	3433	Kostyavirus	NA	NA	NA	NA
NODE_edge_2+_length_45381_cov_280_65	44866	45381	516	-1	0.574	11	None	GENOMAD.111122.VV	1.246e-57	198	0	0	0	722	Benedictvirus	NA	NA	NA	NA
